air_store_id,air_genre_name,air_area_name,latitude,longitude,visit_date,visitors,air_reserve_visitors_sum,hpg_store_id,hpg_reserve_visitors_sum,calendar_date,day_of_week,holiday_flg
air_399904bdb7685ca0,Italian/French,Ōsaka-fu Ōsaka-shi Kyūtarōmachi,34.6812614,135.50980090000002,2016-01-05,4,,,,2016-01-05,Tuesday,0
air_399904bdb7685ca0,Italian/French,Ōsaka-fu Ōsaka-shi Kyūtarōmachi,34.6812614,135.50980090000002,2016-01-06,15,,,,2016-01-06,Wednesday,0
air_399904bdb7685ca0,Italian/French,Ōsaka-fu Ōsaka-shi Kyūtarōmachi,34.6812614,135.50980090000002,2016-01-07,26,,,,2016-01-07,Thursday,0
air_399904bdb7685ca0,Italian/French,Ōsaka-fu Ōsaka-shi Kyūtarōmachi,34.6812614,135.50980090000002,2016-01-08,75,,,,2016-01-08,Friday,0
air_399904bdb7685ca0,Italian/French,Ōsaka-fu Ōsaka-shi Kyūtarōmachi,34.6812614,135.50980090000002,2016-01-09,91,,,,2016-01-09,Saturday,0
air_399904bdb7685ca0,Italian/French,Ōsaka-fu Ōsaka-shi Kyūtarōmachi,34.6812614,135.50980090000002,2016-01-10,15,,,,2016-01-10,Sunday,0
air_399904bdb7685ca0,Italian/French,Ōsaka-fu Ōsaka-shi Kyūtarōmachi,34.6812614,135.50980090000002,2016-01-11,31,,,,2016-01-11,Monday,1
air_399904bdb7685ca0,Italian/French,Ōsaka-fu Ōsaka-shi Kyūtarōmachi,34.6812614,135.50980090000002,2016-01-12,43,,,,2016-01-12,Tuesday,0
air_399904bdb7685ca0,Italian/French,Ōsaka-fu Ōsaka-shi Kyūtarōmachi,34.6812614,135.50980090000002,2016-01-13,20,,,,2016-01-13,Wednesday,0
air_399904bdb7685ca0,Italian/French,Ōsaka-fu Ōsaka-shi Kyūtarōmachi,34.6812614,135.50980090000002,2016-01-14,4,,,,2016-01-14,Thursday,0
air_399904bdb7685ca0,Italian/French,Ōsaka-fu Ōsaka-shi Kyūtarōmachi,34.6812614,135.50980090000002,2016-01-15,116,,,,2016-01-15,Friday,0
air_399904bdb7685ca0,Italian/French,Ōsaka-fu Ōsaka-shi Kyūtarōmachi,34.6812614,135.50980090000002,2016-01-16,51,,,,2016-01-16,Saturday,0
air_399904bdb7685ca0,Italian/French,Ōsaka-fu Ōsaka-shi Kyūtarōmachi,34.6812614,135.50980090000002,2016-01-17,24,,,,2016-01-17,Sunday,0
air_399904bdb7685ca0,Italian/French,Ōsaka-fu Ōsaka-shi Kyūtarōmachi,34.6812614,135.50980090000002,2016-01-18,33,,,,2016-01-18,Monday,0
